stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
WHIVINNN,WHIVINNN,WHITE BRIDGE PIKE & VINERIDGE DR NB,WHITE BRIDGE PK & VINE RIDGE DR,36.135293,-86.858198,,,,,,0
WHILUZNF,WHILUZNF,WHITES CREEK PIKE & LUZON ST NB,US HWY 431 & LUZON ST,36.210243,-86.796294,,,,,,0
WHIAVASN,WHIAVASN,WHITES CREEK PIKE & AVALON DR SB,WHITES CREEK PK & AVALON DR,36.212314,-86.798685,,,,,,
WHIWNSF,WHIWNSF,WHITES CREEK PIKE & W NOCTURNE DR S,,36.211304,-86.797421,,,,,,0
WHITRISN,WHITRISN,WHITES CREEK PIKE & W TRINITY LN SB,2020 WHITES CREEK PIKE & W TRINITY LN,36.207154,-86.791862,,,,,,0
WHAWALEF,WHAWALEF,W. HAMILTON AVE & MALLARD DR EB,W. HAMILTON & MALLARD DRIVE,36.216258,-86.822127,,,,,,
WOON1SEN,WOON1SEN,WOODLAND ST & S 2ND ST EB,129 WOODLAND ST & 1ST ST S,36.169117,-86.771786,,,,,,0
WOO5SEN,WOO5SEN,WOODLAND ST & S 5TH ST EB,,36.171678,-86.764955,,,,,,0
CHALELEM,CHALELEM,CHARLOTTE PIKE & LELLYETT ST EB,CHARLOTTE PK & OCEOLA AV,36.148932,-86.863642,,,,,,
SHABELWN,SHABELWN,SHACKLEFORD RD & BELMONT BLVD WB,1588 SHACKLEFORD RD & BELMONT BLVD,36.101328,-86.801922,,,,,,0
MEIGS,MEIGS,MEIGS MAGNET SCHOOL,,36.176017,-86.760399,,,,,,
HEAD,HEAD,HEAD MIDDLE SCHOOL,20TH AV N & PEARL ST,36.158034,-86.804426,,,,,,
HBHS,HBHS,HILLSBORO TRANSIT CENTER,3817 HILLSBORO PIKE & GREEN HILLS VLG,36.107575,-86.812719,,,,,,0
EDGHILEN,EDGHILEN,EDGEHILL AVE & HILLSIDE AVE EB,EDGEHILL AV & 9TH AV S,36.14194,-86.781058,,,,,,
WALMARTC,WALMARTC,WALMART,PARKING LOT & 6TH AVE N,36.132167,-86.906837,,,,,,0
MLK,MLK,MARTIN LUTHER KING SCHOOL,,36.161008,-86.800851,,,,,,
MADTOWE,MADTOWE,MADISON TOWERS,N DUPONT AV,36.267491,-86.699097,,,,,,
ELMACONN,ELMACONN,ELM HILL PIKE & ACORN DR NB,ELM HILL PK & ACORN DR,36.150156,-86.700202,,,,,,0
BNA,BNA,NASHVILLE INTERNATIONAL AIRPORT,TERMINAL DR & TRUMPET CIR,36.13057,-86.66578,,,,,,0
CHEMARWM,CHEMARWM,CHESTNUT ST & MARTIN ST WB,CHESTNUT ST & HUMPHREYS ST,36.14307,-86.770883,,,,,,
BRACRASN,BRACRASN,BRANSFORD AVE & CRAIGHEAD ST SB,,36.126148,-86.766278,,,,,,
PEARL,PEARL,PEARL COHN,,36.164228,-86.815995,,,,,,0
CLSFCLK,CLSFCLK,CLIFF DR PAST CLARKSVILLE HWY,CLIFF DR & CLARKSVILLE PK,36.192856,-86.828554,,,,,,
BORHOSP,BORHOSP,METRO BORDEAUX HOSPITAL,CAMILLA CALDWELL LN & UNNAMED STREET,36.17836,-86.845441,,,,,,
SKYLINE,SKYLINE,SKYLINE MEDICAL CENTER WB,RAMP,36.244498,-86.749811,,,,,,0
MTA,MTA,METROPOLITAN TRANSIT AUTHORITY,,36.157604,-86.756053,,,,,,
WALTPR,WALTPR,WALTON LN P&R,,36.237828,-86.724696,,,,,,0
OCANOLEN,OCANOLEN,OCALA DR & NOLENSVILLE PIKE EB,,36.051442,-86.714537,,,,,,
TRIHAWM,TRIHAWM,TRINITY LN & HAMPTON ST WB,W TRINITY LN & HAMPTON ST,36.206806,-86.779633,,,,,,
TRIOLDWN,TRIOLDWN,TRINITY HILLS PKWY & OLD MATTHEWS RD WB,TRINITY HILLS PW & OLD MATTHEWS RD,36.211888,-86.789316,,,,,,
OLDSIL,OLDSIL,OLD MATTHEWS RD & SILAS DR NB,,36.216539,-86.789405,,,,,,
EWICLAEN,EWICLAEN,EWING DR & CLAYMILLE BLVD EB,EWING DR & CLAYMILLE BV,36.231823,-86.801777,,,,,,
EWIVISEN,EWIVISEN,EWING DR & VISTA LN EB,,36.23144,-86.795793,,,,,,
SILOLD,SILOLD,SILAS DR & OLD MATTHEWS RD SB,,36.216494,-86.789656,,,,,,
TRIHAMEN,TRIHAMEN,W TRINITY LN & HAMPTON ST EB,,36.206628,-86.779578,,,,,,
BRIWEASN,BRIWEASN,BRICK CHURCH PIKE & WEAKLEY AVE SB,BRICK CHURCH PK & WEAKLEY AV,36.198242,-86.77699,,,,,,
ARTS,ARTS,ARTS MAGNET SCHOOL,ARTS SCHOOL RD & 2ND AVE S,36.131395,-86.7404,,,,,,
NOLCOTSN,NOLCOTSN,NOLENSVILLE PIKE & COTTON LN SB,NOLENSVILLE PK & BASS AV,36.071087,-86.72347,,,,,,0
GALWMRT,GALWMRT,WALMART GALLATIN PIKE,,36.307973,-86.685963,,,,,,1
GALPETNN,GALPETNN,GALLATIN AVE & PETWAY AVE NB,,36.186484,-86.747091,,,,,,
GALWILNN,GALWILNN,GALLATIN PIKE & WILEY ST NB,N GALLATIN PK & WILEY ST,36.269054,-86.710519,,,,,,0
GALNESSN,GALNESSN,N GALLATIN PIKE & NESBITT LN SB,N GALLATIN PK & NESBITT LN,36.273113,-86.71026,,,,,,
GALPETSN,GALPETSN,GALLATIN AVE & PETWAY AVE,,36.186758,-86.747165,,,,,,
MAIMCFWN,MAIMCFWN,MAIN ST & MCFERRIN AVE WB,921 MAIN ST & MCFERRIN AVE,36.176783,-86.755336,,,,,,0
LAF5AEN,LAF5AEN,GREYHOUND STATION - LAFAYETTE ST & 5TH AVE S,LAFAYETTE ST & 5TH AV S,36.152481,-86.773315,,,,,,
MURTOWEF,MURTOWEF,MURFREESBORO PIKE & TOWN PARK DR EB,US HWY 41 & MURFREESBORO PIKE,36.102964,-86.666093,,,,,,
LAF5AWN,LAF5AWN,LAFAYETTE ST & 5TH AVE S WB,LAFAYETTE ST & 5TH AV S,36.152481,-86.773181,,,,,,
CXO53AVE,CXO53AVE,53RD AVE STATION OUTBOUND,5326 CHARLOTTE AVE & MORROW RD,36.151559,-86.852455,,,,,,1
CXONVLWS,CXONVLWS,NASHVILLE WEST STATION OUTBOUND,6804 CHARLOTTE PIKE,36.134638,-86.888654,,,,,,1
CXIANNEX,CXIANNEX,ANNEX STATION INBOUND,6623 CHARLOTTE PIKE,36.138535,-86.88113,,,,,,1
UNI7AEN,UNI7AEN,UNION ST & 7TH AVE N EB,UNION ST & 7TH AV N,36.163262,-86.783872,,,,,,
6AVDEANN,6AVDEANN,6TH AVE N & DEADERICK ST NB,6TH AV N & DEADERICK ST,36.16466,-86.782651,,,,,,0
THOMUREF,THOMUREF,THOMPSON PL & MURFREESBORO PK EB,,36.126821,-86.710156,,,,,,
THOPATEF,THOPATEF,THOMPSON PL & PATRICIA DR EB,,36.127139,-86.706915,,,,,,
THOCATEN,THOCATEN,THOMPSON PL & CATINA DR EB,THOMPSON PL & COARSEY DR,36.127213,-86.704016,,,,,,
THOGOOEN,THOGOOEN,THOMPSON PL & GOODBAR DR EB,,36.12719,-86.700762,,,,,,
NXOOAKST,NXOOAKST,OAK STATION OUTBOUND,4TH AV S & OAK ST,36.148469,-86.769085,,,,,,0
NXORAINS,NXORAINS,RAINS STATION OUTBOUND,4TH AV S & RAINS AV,36.140507,-86.763861,,,,,,0
NXOMORTN,NXOMORTN,MORTON STATION OUTBOUND,US HWY 31 ALT & US HWY 41 ALT,36.106158,-86.742904,,,,,,1
NXOVERTS,NXOVERTS,VERITAS STATION OUTBOUND,US HWY 31 ALT & VERITAS ST,36.098019,-86.738758,,,,,,1
NOLBRESN,NOLBRESN,NOLENSVILLE  PK & BREWER DR,US HWY 31 ALT & US HWY 41 ALT,36.053735,-86.715196,,,,,,
NXIMORTN,NXIMORTN,MORTON STATION INBOUND,US HWY 31 ALT & MORTON AVE,36.106591,-86.742863,,,,,,1
NXIJOYNR,NXIJOYNR,JOYNER STATION INBOUND,US HWY 31 ALT & JOYNER AVE,36.116385,-86.747836,,,,,,1
WALWILEF,WALWILEF,WALLACE RD & WILLARD DR EB,,36.079939,-86.703564,,,,,,
WALLINWF,WALLINWF,WALLACE RD & LINBAR DR WB,,36.081379,-86.702372,,,,,,0
LINWALEN,LINWALEN,LINBAR DR & WALLACE RD,LINBAR DR & LARGO DR,36.083418,-86.704722,,,,,,
CXO17AVE,CXO17AVE,17TH AVE STATION OUTBOUND,CHARLOTTE AV & 17TH AV N,36.158874,-86.798114,,,,,,1
CLASHASN,CLASHASN,CLARKSVILLE PIKE & S HAMILTON RD SB,CLARKSVILLE PK & BUENA VISTA PK,36.193698,-86.831449,,,,,,
COUDOANN,COUDOANN,COUNTY HOSPITAL RD & DOAK AVE NB,,36.191285,-86.835779,,,,,,0
COUDOAWM,COUDOAWM,COUNTY HOSPITAL RD & DOAK AVE WB,,36.192437,-86.834602,,,,,,
CAMCOUNN,CAMCOUNN,CAMILLA CALDWELL LN & COUNTY HOSPIT,CAMILLA CALDWELL LN & COUNTY HOSPITAL RD,36.182529,-86.847711,,,,,,
COUHOSEN,COUHOSEN,COUNTY HOSPITAL RD & HOSPITAL LN EB,1449 COUNTY HOSPITAL RD & HOSPITAL LN,36.182501,-86.84584,,,,,,0
COUHYDNN,COUHYDNN,COUNTY HOSPITAL RD & HYDES FERRY RD NB,,36.189409,-86.83773,,,,,,
HYDMANNN,HYDMANNN,HYDES FERRY RD & MANCHESTER AVE NB,,36.190971,-86.838573,,,,,,0
JOHASHEN,JOHASHEN,JOHN MALLETTE DR & ASHTON AVE EB,,36.194535,-86.837139,,,,,,0
JOHMANNN,JOHMANNN,JOHN MALLETTE DR & MANCHESTER AVE E,N HYDES FERRY RD & MANCHESTER AV,36.194026,-86.836017,,,,,,0
CLA24AEN,CLA24AEN,CLARKSVILLE PIKE & 24TH AVE N EB,CLARKSVILLE PK & 24TH AV N,36.184729,-86.815769,,,,,,0
BUC22AEF,BUC22AEF,BUCHANAN ST & 22ND AVE N EB,2204 BUCHANAN ST,36.180139,-86.813724,,,,,,0
8AHARNN,8AHARNN,8TH AVE N & HARRISON ST NB,8TH AV N & HARRISON ST,36.168536,-86.788255,,,,,,
BUCDBTWN,BUCDBTWN,BUCHANAN ST & DR D B TODD JR BLVD WB,1690 BUCHANAN ST & DR DB TODD JR BLVD,36.180123,-86.810917,,,,,,0
CLA25AWN,CLA25AWN,CLARKSVILLE PIKE & 25TH AVE N WB,CLARKSVILLE PK & 25TH AV N,36.185506,-86.817082,,,0,,,0
HAMHYDWN,HAMHYDWN,S HAMILTON RD & N HYDES FERRY RD WB,S HAMILTON RD & CLARKSVILLE HWY,36.192831,-86.832144,,,,,,
JOHASHWF,JOHASHWF,JOHN MALLETTE DR & ASHTON AVE WB,3474 JOHN MALLETTE DR & ASHTON AVE,36.194509,-86.836841,,,,,,0
JOHELIWN,JOHELIWN,JOHN MALLETTE DR & ELIZABETH RD WB,3574 JOHN MALLETTE DR & ELIZABETH RD,36.195013,-86.837902,,,,,,0
ELIHYDSN,ELIHYDSN,ELIZABETH RD & HYDES FERRY RD SB,,36.193376,-86.840143,,,,,,
CLIBUENN,CLIBUENN,CLIFF DR & BUENA VISTA PIKE NB,CLIFF DR & BUENA VISTA PK,36.197056,-86.82804,,,,,,
BUEYOUNN,BUEYOUNN,BUENA VISTA PK & YOUNGS LN NB,2595 BUENA VISTA PIKE & YOUNGS LN,36.203485,-86.820885,,,,,,0
BUETAINF,BUETAINF,BUENA VISTA PK & TAIGANS CT NB,,36.207693,-86.819796,,,,,,
TUCWHANN,TUCWHANN,TUCKER RD & W HAMILTON RD NB,,36.213219,-86.825479,,,,,,
CLAABESN,CLAABESN,CLARKSVILLE PIKE & ABERNATHY RD SB,CLARKSVILLE PK & ABERNATHY RD,36.203239,-86.840636,,,,,,
HARDAVWF,HARDAVWF,HARDING PIKE & DAVIDSON RD WB,,36.114773,-86.861586,,,,,,0
H70VOSWN,H70VOSWN,HIGHWAY 70 S & VOSSLAND DR WB,STATE HWY 1 & MEMPHIS BRISTOL HWY,36.096467,-86.877528,,,,,,
H70BROSN,H70BROSN,HWY 70 S & BROOK HOLLOW RD WB,HIGHWAY 70 S & BROOK HOLLOW RD,36.094568,-86.881598,,,,,,
H70VAUWN,H70VAUWN,HWY 70 S & VAUGHNS GAP RD WB,HIGHWAY 70 S & VAUGHNS GAP RD,36.092753,-86.885343,,,,,,
H70PERWF,H70PERWF,HWY 70S & PERCY WARNER BLVD WB,HIGHWAY 70 S & PERCY WARNER BV,36.084699,-86.894763,,,,,,
H70CHIWN,H70CHIWN,HWY 70 S & CHIMNEY HILL WB,,36.076259,-86.915859,,,,,,
TODBELEN,TODBELEN,TODD PRIES DR & BELLEVUE RD EB,TODD PREIS DR & BELLEVUE RD,36.068821,-86.941555,,,,,,
H70CAREF,H70CAREF,HWY 70 S & CARNAVON PKWY EB,,36.08968,-86.890848,,,,,,0
H70VAUEN,H70VAUEN,HWY 70 S & VAUGHN'S GAP RD EB,HIGHWAY 70 S & VAUGHNS GAP RD,36.092459,-86.885503,,,,,,
H70BROE,H70BROE,HWY 70 S & BROOK HOLLOW RD EB,HIGHWAY 70 S & BROOK HOLLOW RD,36.09421,-86.881912,,,,,,
H70PEREN,H70PEREN,HWY 70 S & PERCY WARNER BLVD EB,HIGHWAY 70 S & PERCY WARNER BV,36.096224,-86.877722,,,,,,
HARCLAEN,HARCLAEN,HARDING PIKE & CLAREDON AVE EB,HARDING PK & CLARENDON AV,36.114288,-86.861833,,,,,,
LEBDISEF,LEBDISEF,LEBANON PIKE & DISPAYNE DR EB,,36.172506,-86.649527,,,,,,
LEBMEDEF,LEBMEDEF,LEBANON PIKE & MEDICAL DR EB,LEBANON RD & WELLINGTON SQ,36.176823,-86.645222,,,,,,
8AVDOUSF,8AVDOUSF,8TH AVE & DOUGLAS AVE SB,8TH AV S & S DOUGLAS AV,36.131361,-86.778931,,,,,,
FRACRASF,FRACRASF,FRANKLIN PK & CRAIGHEAD ST SB,US HWY 31 & STATE HWY 6,36.125798,-86.777029,,,,,,
8ACHENN,8ACHENN,8TH AVE S & CHESTNUT ST NB,US HWY 31 & 8TH AVE S,36.141543,-86.778565,,,,,,
8ADRENN,8ADRENN,8TH AVE S & DREXELL ST NB,8TH AV S & DREXEL ST,36.152723,-86.779259,,,,,,0
BRIRICNN,BRIRICNN,BRICK CHURCH PIKE & RICHMOND HILL D,BRICK CHURCH PK & RICHMOND HILL DR,36.235746,-86.781093,,,,,,
DICLORSN,DICLORSN,DICKERSON PK & LORRAINE AVE SB,,36.217766,-86.763171,,,,,,
DICLEMSF,DICLEMSF,DICKERSON PIKE & LEMUEL RD SB,2628 DICKERSON PIKE & DELLWAY DR,36.214746,-86.764236,,,,,,0
DICROCSF,DICROCSF,DICKERSON PIKE & ROCK ST SB,DICKERSON PK & ROCK ST,36.213706,-86.764598,,,,,,0
DICDONSN,DICDONSN,DICKERSON PK & DONALD ST SB,,36.211723,-86.765295,,,,,,
DICWESNF,DICWESNF,DICKERSON PIKE & WESTCHESTER DR N,3810 DICKERSON PIKE,36.263815,-86.757127,,,,,,0
21SBLASF,21SBLASF,21ST AVE S & BLAIR SB,21ST AV S & BLAIR BV,36.129996,-86.802285,,,,,,
21AACKNN,21AACKNN,21ST AVE S & ACKLEN AVE NB,21ST AV S & ACKLEN AV,36.135578,-86.800924,,,,,,0
FAT17SWN,FAT17SWN,FATHERLAND & S 17TH ST,1707 FATHERLAND ST & 17TH ST S,36.173188,-86.739761,,,,,,0
FAT16SWN,FAT16SWN,FATHERLAND ST & S 16TH ST NB,192 16TH ST S & FATHERLAND ST,36.173453,-86.742328,,,,,,0
16SWOONN,16SWOONN,16TH ST & WOODLAND ST NB,8 16TH ST S & WOODLAND ST,36.176802,-86.741874,,,,,,0
N16ORDNN,N16ORDNN,N 16TH ST & ORDWAY PL NB,N 16TH ST & OROWAY PL,36.179699,-86.741437,,,,,,
PORFRANM,PORFRANM,PORTER RD & FRANKLIN AVE NB,,36.183464,-86.732503,,,,,,
PORCARNF,PORCARNF,PORTER RD & CARTER AVE NB,1301 PORTER RD & MCKENNIE AVE,36.189841,-86.728555,,,,,,0
PORMCKNN,PORMCKNN,PORTER RD & MCKENNEL DR NB,PORTER RD & STRAIGHTWAY AV,36.192917,-86.726639,,,,,,0
16SSTRSN,16SSTRSN,N 16TH ST & STRATTON AVE SB,N 16TH ST & PORTER RD,36.182324,-86.741177,,,,,,
16SORDSN,16SORDSN,N 16TH ST & ORDWAY PL SB,,36.179851,-86.741537,,,,,,0
16SWOOSN,16SWOOSN,16TH ST & WOODLAND ST SB,N 16TH ST & PORTER RD,36.177012,-86.741988,,,,,,0
16SFATSN,16SFATSN,16TH ST & FATHERLAND ST SB,190 16TH ST S & FATHERLAND ST,36.173512,-86.742468,,,,,,0
JEF6AVWN,JEF6AVWN,JEFFERSON ST & 6TH AVE N WB,JEFFERSON ST & 6TH AV NORTH,36.173965,-86.788648,,,,,,
JEF17TWN,JEF17TWN,JEFFERSON ST & 17TH AVE N WB,JEFFERSON ST & 17TH AV N,36.170035,-86.804589,,,,,,
JEF14AEN,JEF14AEN,JEFFERSON ST & 14TH AVE N EB,JEFFERSON ST & 14TH AV N,36.170665,-86.801738,,,,,,
JEF6AVEN,JEF6AVEN,JEFFERSON ST & 6TH AVE N,JEFFERSON ST & 6TH AV N,36.17384,-86.788738,,,,,,
HER12AWN,HER12AWN,HERMAN ST & 12TH AVE N WB,,36.167232,-86.796321,,,,,,
HER14AWN,HER14AWN,HERMAN ST & 14TH AVE N WB,HERMAN ST & 14TH AV N,36.16641,-86.79825,,,,,,
HER17NWN,HER17NWN,HERMAN ST & 17TH AVE N WB,,36.164758,-86.802109,,,,,,
BAT29AWN,BAT29AWN,BATAVIA ST & 29TH AVE N WB,,36.161129,-86.820279,,,,,,
CLI33AW,CLI33AW,CLIFTON AVE & 33RD AVE N WB,CLIFTON AV & 33rd Ave North,36.159145,-86.824989,,,,,,
CLI39AWN,CLI39AWN,CLIFTON AVE & 39TH AVE N WB,CLIFTON AV & 39TH AV N,36.157723,-86.830237,,,,,,
CLI40_WN,CLI40_WN,CLIFTON AVE & 40TH AVE N WB,,36.157159,-86.834129,,,,,,
40ACATNN,40ACATNN,40TH AVE N & CATHERINE JOHNSON PKWY NB,40TH AV N & CATHERINE JOHNSON PW,36.158204,-86.834186,,,,,,
ALBALAEN,ALBALAEN,ALBION ST & ALAMEDA AVE EB,PRESIOR DR & PRESLOR DR,36.161813,-86.835546,,,,,,
ALA39ANN,ALA39ANN,ALAMEDA ST & 39TH AVE N,ALAMEDA ST & 39TH AV N,36.163543,-86.833819,,,,,,
39AJOHNN,39AJOHNN,39TH AVE N & JOHN L DRIVER BLVD NB,39TH AV N & JOHN L DRIVER BV,36.165606,-86.83418,,,,,,
TEN51AWM,TEN51AWM,TENNESSEE AVE & 51ST AVE N WB,TENNESSEE AV & 52ND AV N,36.161002,-86.849615,,,,,,
TEN55AWN,TEN55AWN,TENNESSEE AVE & 55TH AVE N WB,TENNESSEE AV & 55TH AV N,36.160819,-86.854182,,,,,,
TENMORWN,TENMORWN,TENNESSEE AVE & MORROW RD WB,TENNESSEE AV & 57TH AV N,36.160713,-86.857962,,,,,,
WAL40AEN,WAL40AEN,WALTER S DAVIS BLVD & 40TH AVE N EB,CENTENNIAL BLVD & 40TH AVE N,36.164497,-86.838576,,,,,,
DRW39ANN,DRW39ANN,WALTER S DAVIS BLVD & 39TH AVE N NB,DR WALTER S DAVIS BLVD & UNNAMED STREET,36.166025,-86.835021,,,,,,
39AJOHSN,39AJOHSN,39TH AVE N & JOHN DRIVER BLVD SB,39TH AV N & JOHN L DRIVER BV,36.165677,-86.834337,,,,,,
39AALASN,39AALASN,39TH AVE N & ALAMEDA ST SB,,36.163749,-86.833864,,,,,,
CLI34AEN,CLI34AEN,CLIFTON AVE & 34TH AVE N EB,CLIFTON AV & 34TH AV N,36.158492,-86.827075,,,,,,
CLI33AEN,CLI33AEN,CLIFTON AVE & 33RD AVE N EB,CLIFTON AV & 33RD AV N,36.159029,-86.82509,,,,,,
32ABATNN,32ABATNN,32ND AVE N & BATAVIA ST NB,32ND AV N & BATAVIA ST,36.160458,-86.824014,,,,,,
BAT31AEN,BAT31AEN,BATAVIA ST & 31ST AVE N EB,BATAVIA ST & 31ST AV N,36.160672,-86.822926,,,,,,
BAT28AEN,BAT28AEN,BATAVIA ST & 28TH AVE N EB,BATAVIA ST & 28TH AV N,36.161162,-86.819273,,,,,,
